Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
22265,Woman -- Dickens's attitude toward,,,,,,,
22278,Women -- Dickens's beliefs regarding,,,,,,,
22293,"Adams, Abigail",http://id.loc.gov/authorities/names/n79142790,,http://id.worldcat.org/fast/47027,,https://viaf.org/viaf/32015075,https://www.wikidata.org/entity/Q206191,
22307,"Adams, Samuel",http://id.loc.gov/authorities/names/n50037043,,http://id.worldcat.org/fast/12627,,https://viaf.org/viaf/73845465,https://www.wikidata.org/entity/Q212963,
22318,Anti-Federalists,,,,,,,
22326,"Arendt, Hannah",http://id.loc.gov/authorities/names/n50023617,,http://id.worldcat.org/fast/1427224,,https://viaf.org/viaf/105151053,https://www.wikidata.org/entity/Q60025,
22333,authority,http://id.loc.gov/authorities/subjects/sh85009789,,http://id.worldcat.org/fast/821653,,,https://www.wikidata.org/entity/Q174834,
22340,Bachelors,http://id.loc.gov/authorities/subjects/sh85010774,,http://id.worldcat.org/fast/825039,,,https://www.wikidata.org/entity/Q516445,
22349,"Bacon, Francis",http://id.loc.gov/authorities/names/n79100235,,http://id.worldcat.org/fast/41952,,https://viaf.org/viaf/31992319,https://www.wikidata.org/entity/Q5480096,
22392,common sense,,,http://id.worldcat.org/fast/869820,,,https://www.wikidata.org/entity/Q332880,
22395,Constitutional Convention,http://id.loc.gov/authorities/names/n80039711,,,,https://viaf.org/viaf/155934344,https://www.wikidata.org/entity/Q405475,
22409,Democratic disorders,,,,,,,
22413,"Dickinson, John",http://id.loc.gov/authorities/names/n50027268,,http://id.worldcat.org/fast/9030,,https://viaf.org/viaf/28316376,https://www.wikidata.org/entity/Q878687,
22419,"Dulany, Daniel",http://id.loc.gov/authorities/names/n86053753,,http://id.worldcat.org/fast/197623,,https://viaf.org/viaf/55628906,https://www.wikidata.org/entity/Q5217011,
22425,Effeminacy,http://id.loc.gov/authorities/subjects/sh2011000957,,http://id.worldcat.org/fast/1764771,,,https://www.wikidata.org/entity/Q473652,
